
time,npos,epos,alt,phi,theta,psi,vel,alpha,beta,p,q,r,nx,ny,nz,mach,qbar,ps,

 0.00000, 0.00000, 0.00000,40000.00000, 0.00000,30.00000, 0.00000,300.00000,30.00000, 0.00000, 0.00000, 0.00000, 5.00000, 0.42795, 0.00019, 0.74122, 0.30990,27.26460,405.24281,7465.76731,-7.92143, 1.51649,-1.25188,
 0.10000,29.99997, 0.00042,39999.97688, 0.29128,29.99856, 0.57646,299.99933,30.08895,-0.42810, 0.09149,-0.00429, 4.98345, 0.42803, 0.00364, 0.74259, 0.30990,27.26450,405.24319,7465.76731,-7.92143, 1.51649,-1.25188,
 0.20000,59.99972, 0.00322,39999.90779, 0.59937,29.99392, 1.15059,299.99721,30.17856,-0.84019, 0.35735,-0.01217, 4.96074, 0.42812, 0.00700, 0.74389, 0.30990,27.26419,405.24432,7465.76731,-7.92143, 1.51649,-1.25188,
 0.30000,89.99905, 0.01078,39999.79306, 0.94052,29.98559, 1.72174,299.99354,30.26897,-1.22727, 0.78025,-0.02217, 4.93371, 0.42820, 0.01019, 0.74511, 0.30990,27.26365,405.24620,7465.76731,-7.92143, 1.51649,-1.25188,
 0.40000,119.99772, 0.02554,39999.63301, 1.32917,29.97313, 2.28946,299.98822,30.36057,-1.58127, 1.33999,-0.03309, 4.90425, 0.42829, 0.01314, 0.74630, 0.30989,27.26286,405.24883,7465.76731,-7.92143, 1.51649,-1.25188,
 0.50000,149.99549, 0.05009,39999.42792, 1.77773,29.95607, 2.85349,299.98109,30.45394,-1.89522, 2.01410,-0.04402, 4.87415, 0.42838, 0.01580, 0.74748, 0.30989,27.26179,405.25220,7465.76731,-7.92143, 1.51649,-1.25188,
 0.60000,179.99209, 0.08715,39999.17804, 2.29638,29.93393, 3.41375,299.97197,30.54964,-2.16334, 2.77849,-0.05432, 4.84515, 0.42846, 0.01811, 0.74870, 0.30988,27.26041,405.25630,7465.76731,-7.92143, 1.51649,-1.25188,
 0.70000,209.98725, 0.13965,39998.88359, 2.89290,29.90621, 3.97034,299.96066,30.64813,-2.38117, 3.60806,-0.06367, 4.81882, 0.42855, 0.02004, 0.74997, 0.30986,27.25868,405.26113,7465.76731,-7.92143, 1.51649,-1.25188,
 0.80000,239.98064, 0.21071,39998.54477, 3.57260,29.87239, 4.52350,299.94692,30.74961,-2.54554, 4.47737,-0.07198, 4.79652, 0.42865, 0.02154, 0.75133, 0.30985,27.25656,405.26669,7465.76731,-7.92143, 1.51649,-1.25188,
 0.90000,269.97195, 0.30366,39998.16172, 4.33833,29.83187, 5.07358,299.93054,30.85400,-2.65465, 5.36133,-0.07938, 4.77938, 0.42874, 0.02261, 0.75279, 0.30983,27.25400,405.27297,7465.76731,-7.92143, 1.51649,-1.25188,
 1.00000,299.96079, 0.42210,39997.73457, 5.19049,29.78403, 5.62099,299.91132,30.96085,-2.70802, 6.23580,-0.08614, 4.76820, 0.42884, 0.02323, 0.75433, 0.30981,27.25098,405.27998,7465.76731,-7.92143, 1.51649,-1.25188,
 1.10000,329.94676, 0.56981,39997.26341, 6.12714,29.72821, 6.16621,299.88913,31.06932,-2.70643, 7.07818,-0.09265, 4.76344, 0.42894, 0.02340, 0.75597, 0.30979,27.24747,405.28771,7465.76731,-7.92143, 1.51649,-1.25188,
 1.20000,359.92946, 0.75082,39996.74825, 7.14420,29.66368, 6.70967,299.86391,31.17825,-2.65186, 7.86792,-0.09937, 4.76523, 0.42903, 0.02314, 0.75766, 0.30976,27.24345,405.29617,7465.76731,-7.92143, 1.51649,-1.25188,
 1.30000,389.90845, 0.96938,39996.18902, 8.23558,29.58971, 7.25175,299.83570,31.28619,-2.54733, 8.58690,-0.10676, 4.77330, 0.42912, 0.02247, 0.75938, 0.30974,27.23894,405.30534,7465.76731,-7.92143, 1.51649,-1.25188,
 1.40000,419.88328, 1.22992,39995.58559, 9.39348,29.50555, 7.79274,299.80468,31.39149,-2.39684, 9.21971,-0.11527, 4.78706, 0.42921, 0.02141, 0.76109, 0.30970,27.23397,405.31525,7465.76731,-7.92143, 1.51649,-1.25188,
 1.50000,449.85351, 1.53704,39994.93770,10.60862,29.41046, 8.33278,299.77116,31.49237,-2.20517, 9.75385,-0.12531, 4.80562, 0.42930, 0.02001, 0.76274, 0.30967,27.22860,405.32588,7465.76731,-7.92143, 1.51649,-1.25188,
 1.60000,479.81871, 1.89548,39994.24498,11.87053,29.30375, 8.87187,299.73559,31.58706,-1.97775,10.17968,-0.13724, 4.82786, 0.42937, 0.01830, 0.76429, 0.30963,27.22290,405.33725,7465.76731,-7.92143, 1.51649,-1.25188,
 1.70000,509.77846, 2.31011,39993.50692,13.16782,29.18478, 9.40980,299.69856,31.67387,-1.72050,10.49049,-0.15137, 4.85252, 0.42944, 0.01632, 0.76570, 0.30959,27.21699,405.34936,7465.76731,-7.92143, 1.51649,-1.25188,
 1.80000,539.73238, 2.78584,39992.72285,14.48850,29.05302, 9.94621,299.66079,31.75126,-1.43971,10.68225,-0.16793, 4.87827, 0.42950, 0.01414, 0.76693, 0.30955,27.21099,405.36223,7465.76731,-7.92143, 1.51649,-1.25188,
 1.90000,569.68015, 3.32764,39991.89200,15.82021,28.90805,10.48058,299.62314,31.81794,-1.14184,10.75351,-0.18711, 4.90382, 0.42955, 0.01179, 0.76795, 0.30952,27.20507,405.37586,7465.76731,-7.92143, 1.51649,-1.25188,
